"name", "slug"
"Givenchy","givenchy"
"GLAMGLOW","glamglow"
"Glamnetic","glamnetic"
"Go Smile","gosmile"
"Got 2b","got2b"
"Grace Eleyae","graceeleyae"
"Grande Cosmetics","grandecosmetics"
"Groovi Beauty","groovibeauty"
"Grow Gorgeous","growgorgeous"
"Grown Alchemist","grownalchemist"
"Gucci","gucci"
"Guerlain","guerlain"
"Hanskin","hanskin"
"HAN Skincare Cosmetics","hanskincarecosmetics"
"Hask","hask"
"Hello","hello"
"Hempz","hempz"
"Heritage Store","heritagestore"
"Hero Cosmetics","herocosmetics"
"Hey Honey","heyhoney"
"Hip Chic","hipchic"
"HipDot","hipdot"
"Holika Holika","holikaholika"
"Hollywood Fashion Secrets","hollywoodfashionsecrets"
"HomeWorx","homeworx"
"Honest Beauty","honestbeauty"
"Hot Tools","hottools"
"Hourglass","hourglass"
"House of Lashes","houseoflashes"
"Hugo Boss","hugoboss"
"Hustle Butter","hustlebutter"
"Hynt Beauty","hyntbeauty"
"ICONIC LONDON","iconiclondon"
"iDesign","idesign"
"I Dew Care","idewcare"
"IGK","igk"
"I Heart Revolution","iheartrevolution"
"iHome","ihome"
"IMBIBE","imbibe"
"Impressions Vanity","impressionsvanity"
"Incoco","incoco"
"Indeed Labs","indeedlabs"
"INDIE LEE","indielee"
"Inked by Dani","inkedbydani"
"Innersense Organic Beauty","innersenseorganicbeauty"
"Inuwet","inuwet"
"IPKN","ipkn"
"IROHA","iroha"
"Issey Miyake","isseymiyake"
"IT Brushes For ULTA","itbrushesforulta"
"It Cosmetics","itcosmetics"
"It's A 10","itsa10"
"Jack Black","jackblack"
"jane iredale","janeiredale"
"J.Cat Beauty","jcatbeauty"
"Jean Paul Gaultier","jeanpaulgaultier"
"Jennifer Lopez","jenniferlopez"
"Jergens","jergens"
"Jimmy Choo","jimmychoo"
"John Frieda","johnfrieda"
"John Varvatos","johnvarvatos"
"Joico","joico"
"Josh Rosebrook","joshrosebrook"
"Josie Maran","josiemaran"
"J.R. Watkins","jrwatkins"
"Juice Beauty","juicebeauty"
"Juicy Couture","juicycouture"
"Juvia's Place","juviasplace"
"Kate Somerville","katesomerville"
"Kate Spade New York","katespadenewyork"
"Kenneth Cole New York","kennethcolenewyork"
"Kenra Professional","kenraprofessional"
"Keracolor","keracolor"
"Keranique","keranique"
"Keratin Complex","keratincomplex"
"Kestrel","kestrel"
"Kiehl's Since 1851","kiehlssince1851"
"Kiesque","kiesque"
"KIKO Milano","kikomilano"
"Kinship","kinship"
"Kiss","kiss"
"Kitao","kitao"
"KKW BEAUTY","kkwbeauty"
"Kitsch","kitsch"
"KKW FRAGRANCE","kkwfragrance"
"Klairs","klairs"
"Klorane","klorane"
"Kneipp","kneipp"
"Kopari Beauty","koparibeauty"
"Kreyòl Essence","kreyolessence"
"KVD Vegan Beauty","kvdveganbeauty"
"Kylie Cosmetics","kyliecosmetics"
"KYLIE SKIN","kylieskin"
"Lacoste","lacoste"
"L.A. Girl","lagirl"
"Lake & Skye","lakeandskye"
"Lancôme","lancome"
"L'ange","lange"
"Lano","lano"
"L'anza","lanza"
"La Roche-Posay","larocheposay"
"LashFood","lashfood"
"Laura Mercier","lauramercier"
"LAVANILA","lavanila"
"Leaders","leaders"
"Lee Stafford","leestafford"
"Le Mini Macaron","leminimacaron"
"Lilly Lashes","lillylashes"
"Lime Crime","limecrime"
"Lip Smacker","lipsmacker"
"Lipstick Queen","lipstickqueen"
"Living Proof","livingproof"
"L'Occitane","loccitane"
"Londontown","londontown"
"LORAC","lorac"
"L'Oréal","loreal"
"Lottie London","lottielondon"
"Love Beauty and Planet","lovebeautyandplanet"
"Love Wellness","lovewellness"
"Loving Tan","lovingtan"
"Mac","mac"
"Macadamia Professional","macadamiaprofessional"
"Mad Hippie","madhippie"
"Madison Reed","madisonreed"
"Maely's Cosmetics","maelyscosmetics"
"Makeup Revolution","makeuprevolution"
"Mamonde","mamonde"
